 20241113	 12:16:54	3814341414	4117B	2378	167.930	22.249
 20241113	 12:17:24	3814341444	4117B	2378	167.911	22.250
 20241113	 12:17:54	3814341474	4117B	2378	167.892	22.249
 20241113	 12:18:24	3814341504	4117B	2378	167.910	22.249
 20241113	 12:18:54	3814341534	4117B	2378	167.900	22.250
 20241113	 12:19:24	3814341564	4117B	2378	167.912	22.250
 20241113	 12:19:54	3814341594	4117B	2378	167.869	22.250
 20241113	 12:20:24	3814341624	4117B	2378	167.875	22.250
 20241113	 12:20:54	3814341654	4117B	2378	167.883	22.250
 20241113	 12:21:24	3814341684	4117B	2378	167.876	22.251
 20241113	 12:21:54	3814341714	4117B	2378	167.843	22.251
 20241113	 12:22:24	3814341744	4117B	2378	167.859	22.252
 20241113	 12:22:54	3814341774	4117B	2378	167.837	22.251
 20241113	 12:23:24	3814341804	4117B	2378	167.831	22.251
 20241113	 12:23:54	3814341834	4117B	2378	167.827	22.252
 20241113	 12:24:24	3814341864	4117B	2378	167.830	22.251
 20241113	 12:24:54	3814341894	4117B	2378	167.815	22.253
 20241113	 12:25:24	3814341924	4117B	2378	167.802	22.252
 20241113	 12:25:54	3814341954	4117B	2378	167.790	22.252
 20241113	 12:26:24	3814341984	4117B	2378	167.796	22.252
 20241113	 12:26:54	3814342014	4117B	2378	167.811	22.253
 20241113	 12:27:24	3814342044	4117B	2378	167.797	22.253
 20241113	 12:27:54	3814342074	4117B	2378	167.773	22.253
 20241113	 12:28:24	3814342104	4117B	2378	167.782	22.253
 20241113	 12:28:54	3814342134	4117B	2378	167.780	22.253
 20241113	 12:29:24	3814342164	4117B	2378	167.764	22.253
 20241113	 12:29:54	3814342194	4117B	2378	167.751	22.254
 20241113	 12:30:24	3814342224	4117B	2378	167.738	22.254
 20241113	 12:30:54	3814342254	4117B	2378	167.741	22.254
 20241113	 12:31:24	3814342284	4117B	2378	167.745	22.254
 20241113	 12:31:54	3814342314	4117B	2378	167.735	22.255
 20241113	 12:32:24	3814342344	4117B	2378	167.725	22.255
 20241113	 12:32:54	3814342374	4117B	2378	167.659	22.255
 20241113	 12:33:24	3814342404	4117B	2378	167.679	22.255
 20241113	 12:33:54	3814342434	4117B	2378	1057.754	22.266
 20241113	 12:34:24	3814342464	4117B	2378	3079.920	22.291
 20241113	 12:34:54	3814342494	4117B	2378	3052.648	22.294
 20241113	 12:35:24	3814342524	4117B	2378	3039.146	22.295
 20241113	 12:35:54	3814342554	4117B	2378	3029.859	22.297
 20241113	 12:36:24	3814342584	4117B	2378	3022.476	22.299
 20241113	 12:36:54	3814342614	4117B	2378	3016.212	22.299
 20241113	 12:37:24	3814342644	4117B	2378	3010.659	22.300
 20241113	 12:37:54	3814342674	4117B	2378	3005.519	22.301
 20241113	 12:38:24	3814342704	4117B	2378	3000.803	22.301
 20241113	 12:38:54	3814342734	4117B	2378	2996.726	22.301
 20241113	 12:39:24	3814342764	4117B	2378	2993.325	22.301
 20241113	 12:39:54	3814342794	4117B	2378	2990.335	22.301
 20241113	 12:40:24	3814342824	4117B	2378	2987.614	22.301
 20241113	 12:40:53	3814342854	4117B	2378	2985.095	22.301
 20241113	 12:41:24	3814342884	4117B	2378	2982.715	22.300
 20241113	 12:41:54	3814342914	4117B	2378	2980.476	22.300
 20241113	 12:42:24	3814342944	4117B	2378	2978.374	22.300
 20241113	 12:42:54	3814342974	4117B	2378	2976.356	22.299
 20241113	 12:43:24	3814343004	4117B	2378	2974.456	22.299
 20241113	 12:43:54	3814343034	4117B	2378	2972.641	22.300
 20241113	 12:44:24	3814343064	4117B	2378	2970.868	22.298
 20241113	 12:44:54	3814343094	4117B	2378	2969.162	22.298
 20241113	 12:45:24	3814343124	4117B	2378	2967.550	22.297
